"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"SKU-CAP has zero stock; adding it to the cart should return 409","34","Cannot add out-of-stock product","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.OutOfStockApiTest","com.ust.shopkart.tests.OutOfStockApiTest","addOutOfStockItem"
"Adds a bottle and a bag, verifies per-line totals and grand total via API, then cross-checks quantities and unit prices directly in the database","35","Add products to cart and validate total with database","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.TotalCartApiTest","com.ust.shopkart.tests.TotalCartApiTest","addToCart_ValidateTotal_Price_With_Database"
"Places an order then cancels it, expecting CANCELLED status; cancelling again should be rejected with 409","1390","Cancel placed order","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.CancelOrderApiTest","com.ust.shopkart.tests.CancelOrderApiTest","cancelOrder"
"Alice places an order; Alice can fetch it (200), Bob cannot (403)","33","Owner gets 200; another customer gets 403","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.OrderAccessApiTest","com.ust.shopkart.tests.OrderAccessApiTest","ownerCanAccessButOtherCustomerCannot"
"  As a shopper
  I want to search products by SKU
  So that I can see the matching product list","204","Search products by SKU","","2026-07-12","broken","2026-07-12","","Catalog search","Search products by SKU",""
"Logs in, searches a product, builds a cart, places an order, then verifies both the API response and the underlying database row match","51","Checkout End-To-End","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.CheckoutE2ETest","com.ust.shopkart.tests.CheckoutE2ETest","checkoutE2E"
"Searches for SKU-CAP and verifies sku, name, and stock in the first result","57","Search product by keyword dynamically","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.ProductApiTest","com.ust.shopkart.tests.ProductApiTest","searchProduct"
"  As a shopper
  I want to search products by SKU
  So that I can see the matching product list","215","Search products by SKU","","2026-07-12","broken","2026-07-12","","Catalog search","Search products by SKU",""
"Fetches the cart by id and confirms it still reflects the empty state","63","get cart by cartId of login user","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.TotalCartApiTest","com.ust.shopkart.tests.TotalCartApiTest","getCart"
"  As a shopper
  I want to search products by SKU
  So that I can see the matching product list","230","Search products by SKU","","2026-07-12","broken","2026-07-12","","Catalog search","Search products by SKU",""
"  As a shopper
  I want to search products by SKU
  So that I can see the matching product list","201","Search products by SKU","","2026-07-12","broken","2026-07-12","","Catalog search","Search products by SKU",""
"Logs in and captures the auth token used by the rest of this ordered suite","43","Login with valid credentials","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.TotalCartApiTest","com.ust.shopkart.tests.TotalCartApiTest","validLogin"
"Creates a cart and verifies it starts OPEN, empty, with zero total","34","create cart of login user","","2026-07-12","broken","2026-07-12","","com.ust.shopkart.tests.TotalCartApiTest","com.ust.shopkart.tests.TotalCartApiTest","createCart"
"    As a shopper
    I want to search products and add to cart
    so that I can place order successfully","6272","Successful checkout","","2026-07-12","broken","2026-07-12","","Checkout feature","Successful checkout",""
